Adresse;Nombre de paquets
Linux;5923
184.107.43.74.http;2000
Paris;1052
www.aggloroanne.fr.https;1022
mauves.univ-st-etienne.fr.https;751
ns1.lan.rt.domain;83
192.168.190.130.50245;55
192.168.115.1;42
91.121.37.244.https;27
201.181.244.35.bc.googleusercontent.com.https;16
82.221.107.34.bc.googleusercontent.com.http;6
93.184.220.29.http;6
lhr25s01-in-f2.1e100.net.https;6
server-54-230-114-7.mrs52.r.cloudfront.net.https;5
server-54-230-114-73.mrs52.r.cloudfront.net.https;5
192.168.190.130.50019;4
104.18.31.182.http;4
ec2-35-166-112-194.us-west-2.compute.amazonaws.com.https;2
ec2-34-211-70-226.us-west-2.compute.amazonaws.com.https;2
server-54-230-114-122.mrs52.r.cloudfront.net.https;2
mad01s26-in-f174.1e100.net.https;2
192.168.190.130.50374;1
